cell_id	E	C1	C2	C3	donor_id
cell_000001	3	0.19740873140019422	-0.6227030953534379	-0.49212293771026683	donor_001
cell_000002	0	-1.5577376766151654	-0.05972847311795402	-1.1252461693127553	donor_001
cell_000003	0	-1.1790591976970952	-1.1989910508979558	-0.6679750941501805	donor_001
cell_000004	8	0.975384392035022	0.9032198225518488	0.5597266257424617	donor_001
cell_000005	1	0.04591068611086037	-0.6142466002188245	-1.7108102637963594	donor_001
cell_000006	8	-0.22689512123769812	1.9520800490969874	-0.20957731082320993	donor_001
cell_000007	3	0.8882151957220334	1.1736344267823922	0.7611939443562132	donor_001
cell_000008	3	0.06103568244807227	0.7840124932131853	0.5756133687702071	donor_001
cell_000009	0	1.1938400790730537	-0.27439052527875857	-0.8932039566439413	donor_001
cell_000010	3	-0.27378206707550123	0.5791766896600361	0.49873042133393897	donor_001
cell_000011	3	1.97439803305977	-0.03981372095381942	-0.6525889880006088	donor_001
cell_000012	3	-0.967460536678763	0.5990626731486541	-1.909093359299338	donor_001
cell_000013	7	0.49279266212483286	1.5647921289760907	0.7488529192215727	donor_001
cell_000014	1	0.9596579565273838	-1.6413304846291334	-1.40066450970712	donor_001
cell_000015	2	-0.31481475141592424	0.015988411286889367	-0.26893470159279587	donor_001
cell_000016	3	1.4661805215931933	-2.038490482357433	-0.2576004510930156	donor_001
cell_000017	0	-1.610616427215293	-0.16416929333124386	-0.5433092232383214	donor_001
cell_000018	4	-0.4241900884849547	0.16923261321422992	0.07741208894377306	donor_001
cell_000019	4	1.72482951689596	0.5200416978512574	-1.5350036959980902	donor_001
cell_000020	0	-1.5049996871396614	-0.28159221167472415	-0.49620216587507165	donor_001
cell_000021	1	0.0045053385560918655	-0.16255810871383744	-1.3540226940211444	donor_001
cell_000022	5	-0.0618729017786454	1.9905993876644	-0.6332480309861587	donor_001
cell_000023	0	1.8285159509954174	-0.7432842207971242	0.26353751758447275	donor_001
cell_000024	7	0.09714098706355362	2.4272625846069724	-0.1988131790243462	donor_001
cell_000025	0	-0.23352273435837353	-0.033743054283278874	0.4686262104785571	donor_001
cell_000026	2	0.5805497805010846	0.3706260581129555	1.2821377444303368	donor_001
cell_000027	4	1.8415363898791126	1.5125982901600736	0.9008623180895489	donor_001
cell_000028	0	-1.4561713315808116	0.43713620703204586	-1.4859015914270837	donor_001
cell_000029	5	1.7151255395849372	0.817503991448987	0.6436383680927649	donor_001
cell_000030	0	-0.022574024184888294	-0.4439952683246439	0.05027252878837941	donor_001
cell_000031	0	0.35444675649600993	-0.2174592139164459	-2.157822099229192	donor_001
cell_000032	2	1.3396093467945414	0.24356946076263047	0.0035394826412442136	donor_001
cell_000033	1	-0.3110606136048989	0.47903952774842273	1.030155663321801	donor_001
cell_000034	4	1.2085153228252388	0.2133591979850911	0.41076631924753654	donor_001
cell_000035	3	-0.958673910590713	0.21202085879140073	-0.17627135832147547	donor_001
cell_000036	3	-0.5603038082328983	0.5289545525514404	0.3728451975935296	donor_001
cell_000037	1	0.2361496765223139	-1.708183274412275	-0.04334607071478088	donor_001
cell_000038	3	0.10469369835006662	-0.14390875241085566	-0.4898868092721169	donor_001
cell_000039	3	1.1286187219489732	-1.0066999157272405	0.006174444142473477	donor_001
cell_000040	4	0.7535260091015863	0.9055961711334877	-1.2548522101998234	donor_001
cell_000041	1	-0.15809266622792095	-1.7900171798556619	0.12688477638550438	donor_001
cell_000042	5	-0.5180259304771558	0.08975254241478064	-1.1011536278897005	donor_001
cell_000043	4	2.1373333181744867	1.046655454131208	0.10993535051351151	donor_001
cell_000044	2	0.8202247407127733	-0.6208118434672332	0.5575387919645024	donor_001
cell_000045	1	-1.816676859674334	-0.03196255455113726	-0.6777845815935566	donor_001
cell_000046	2	0.2692095388846251	-0.4233958527978155	0.5327909361652197	donor_001
cell_000047	2	0.20349416121320757	0.014414189280869365	0.15896476198939685	donor_001
cell_000048	3	1.7157845729640768	0.3216169274113215	0.14298635182876043	donor_001
cell_000049	1	0.25050628245338213	1.3044262303510559	0.3375009172252361	donor_002
cell_000050	0	0.9160794301355688	-0.17939256294651343	1.0415431136036384	donor_002
cell_000051	3	-0.024405966303575888	0.5567511110097262	-0.6664103157617314	donor_002
cell_000052	0	-1.398258321374879	-0.7279630967131405	-1.877448335946361	donor_002
cell_000053	0	0.11900840811288005	-1.2689542005329315	1.0455304079130359	donor_002
cell_000054	2	1.2268687527883533	0.18216730442560947	0.3342683343804912	donor_002
cell_000055	0	0.8837988552683749	-2.3420730198942996	-1.9016677646227385	donor_002
cell_000056	1	-0.07534874405967901	1.834802086977107	-0.5660996844400003	donor_002
cell_000057	0	0.25663487169434496	-1.631214494020039	0.3661317928590043	donor_002
cell_000058	2	-0.22394194818275376	-0.35914754862819454	-0.641609926151931	donor_002
cell_000059	0	0.48067059340635837	-0.7406056468031766	-1.3710936890325518	donor_002
cell_000060	2	-1.696127120866893	1.8334818255628798	-0.8537296257185257	donor_002
cell_000061	2	0.061104355488531784	1.60067196343509	0.47847844363058323	donor_002
cell_000062	1	-0.683671692534227	0.5181490873629379	0.3050457415952255	donor_002
cell_000063	0	0.3558630255300698	-1.0920235275251364	0.890095135680237	donor_002
cell_000064	2	-0.6104298853772289	1.4467723536696875	0.21459484085399996	donor_002
cell_000065	1	0.6941493385803119	0.7955569343406061	0.6093898552328052	donor_002
cell_000066	3	1.0475652594862552	2.0381867182057114	0.7174929991459497	donor_002
cell_000067	2	0.30584044030851953	0.925789960245187	0.4549421935180661	donor_002
cell_000068	1	-0.6772168500720943	0.44110436523287644	-0.9391277267694521	donor_002
cell_000069	0	0.9255849094712516	-1.7328012827042822	0.8096522027267291	donor_002
cell_000070	0	-0.7539706139769833	-0.5986550335255812	-0.815881249364483	donor_002
cell_000071	0	-1.4418706047714673	0.1271577034375057	-0.2786928660546356	donor_002
cell_000072	3	0.7853723921798664	1.0673519486012009	1.2017016990326386	donor_002
cell_000073	1	-0.08473462595623897	-0.9282690598698413	-1.1632122889168828	donor_002
cell_000074	1	-0.5840704483810903	0.9761678813348805	-0.9191020917141376	donor_002
cell_000075	3	-0.019223888756447552	1.1844287226949033	-0.2718527076304904	donor_002
cell_000076	1	0.5193917156827595	-0.5156848625166777	-1.129256646418103	donor_002
cell_000077	0	-0.5223937308335396	-1.327689115001798	0.6386485882379304	donor_002
cell_000078	0	-1.6082767501168065	-0.7071285219309358	0.9916963865945337	donor_002
cell_000079	1	-0.8207015187356063	1.5267300371911268	0.32466056054308995	donor_002
cell_000080	1	-0.09394130581030115	1.1252293551399821	-0.3354079640639201	donor_002
cell_000081	1	0.9997778899791357	-0.6090694385910638	-0.010611717916947094	donor_002
cell_000082	2	1.4908507955331316	0.2952464963848871	0.18536672648538743	donor_002
cell_000083	1	-1.6725465972904219	0.5951157604120396	-1.2816898619511812	donor_002
cell_000084	1	-1.258530817737497	1.0642317483787547	0.6021221038235345	donor_002
cell_000085	0	1.02569520586172	-0.19486152394717998	-1.4827826996976776	donor_002
cell_000086	1	0.964041876699195	0.29909635111340266	0.13829133266901292	donor_002
cell_000087	0	-0.4872029964960673	-1.1873174273429696	-1.7840091689564745	donor_002
cell_000088	0	-0.27293822713140825	-0.3527377739505746	-0.10086533840273312	donor_002
cell_000089	2	-0.7428238942554233	0.8162994326731309	0.33098433958422374	donor_002
cell_000090	0	-0.5934368288876536	0.08711735918665049	0.28831458360515017	donor_003
